question,expected_answer,actual_answer,latency_seconds
How many Vacation Leave days do regular employees receive per year?,15 Vacation Leave days per calendar year,"Regular employees are entitled to fifteen (15) Vacation Leave days per calendar year. 

(POL-002-leave-and-time-off-policy.md)",1.16
How many Sick Leave days do regular employees receive per year?,10 Sick Leave days per calendar year,"Regular employees are entitled to ten (10) Sick Leave days per calendar year. (Source: POL-002-leave-and-time-off-policy.md, Section 5. Sick Leave (SL))",0.81
Does Sick Leave carry over to the next year?,"No, unused Sick Leave expires at year-end","No, unused Sick Leave does not carry over to the following year. (Source: POL-002-leave-and-time-off-policy.md, Section 10. Sick Leave Carryover)",0.809
What is the company's work model?,Remote-first,"According to POL-003 Remote Work Policy, InterCloud Solutions Philippines, Inc. operates under a remote-first working model. 

(POL-003-remote-work-policy.md)",0.729
What are the core collaboration hours?,10:00 AM to 3:00 PM Philippine Time,The core collaboration hours are from 10:00 AM to 3:00 PM Philippine Time. (Source: POL-003-remote-work-policy.md),0.772
What approvals are required for working outside the Philippines?,Immediate Manager and Department Head,"For employees to work outside the Philippines, approval is required from their Immediate Manager and Department Head. If the request exceeds thirty (30) calendar days, executive approval is also required. 

(POL-003-remote-work-policy.md)",0.85
Is MFA required for company systems?,"Yes, MFA is mandatory for specified systems","According to POL-004-information-security-policy.md, Multi-factor authentication is mandatory for:

* Email accounts
* VPN access
* Administrative systems
* Source code repositories
* Cloud platforms

Therefore, MFA is required for company systems.",0.815
What is the minimum password length?,12 characters,"According to POL-004-information-security-policy.md, the minimum password length is 12 characters.",0.798
What data classification is used for production credentials?,Restricted,"According to POL-004-information-security-policy.md, production credentials are classified as ""Restricted"" information.",0.9
Can employees install unauthorized software?,No,"According to POL-005-acceptable-use-policy.md, employees must not install unlicensed applications. Additionally, POL-008-equipment-and-asset-policy.md states that only approved software may be installed on company devices.",0.873
Is limited personal use of company systems allowed?,"Yes, if it does not interfere with work or create security risks","Yes, limited personal use of company systems is permitted, provided it does not interfere with work responsibilities, does not consume excessive resources, does not violate company policies, and does not create security risks. (Source: POL-005-acceptable-use-policy.md, Section 4. Business Use Expectations)",0.939
Can employees copy source code to personal repositories?,No,"According to POL-005-acceptable-use-policy.md, employees may not copy source code to personal repositories.",0.803
