question,expected_answer,actual_answer
How many Vacation Leave days do regular employees receive per year?,15 Vacation Leave days per calendar year,"Regular employees are entitled to fifteen (15) Vacation Leave days per calendar year. 

(POL-002-leave-and-time-off-policy.md)"
How many Sick Leave days do regular employees receive per year?,10 Sick Leave days per calendar year,"Regular employees are entitled to ten (10) Sick Leave days per calendar year. (Source: POL-002-leave-and-time-off-policy.md, Section 5. Sick Leave (SL))"
How many Vacation Leave days may be carried over?,Up to 5 unused Vacation Leave days may be carried over,"According to POL-002-leave-and-time-off-policy.md, employees may carry over up to five (5) unused Vacation Leave days into the following calendar year."
When does carryover Vacation Leave expire?,March 31 of the following year,"According to POL-002-leave-and-time-off-policy.md, carryover Vacation Leave must be used by March 31 of the following year. Unused carryover leave expires after the deadline."
Does Sick Leave carry over to the next year?,"No, unused Sick Leave expires at year-end","No, unused Sick Leave does not carry over to the following year. (Source: POL-002-leave-and-time-off-policy.md, Section 10. Sick Leave Carryover)"
When is a medical certificate required for Sick Leave?,When Sick Leave exceeds 2 consecutive working days,"A medical certificate may be required when Sick Leave exceeds two (2) consecutive working days, patterns of excessive absenteeism are observed, or management determines additional documentation is necessary. (Source: POL-002-leave-and-time-off-policy.md)"
How much Bereavement Leave is available?,3 paid working days,"Regular employees are entitled to three (3) paid working days of Bereavement Leave upon the death of an immediate family member. 

(POL-002-leave-and-time-off-policy.md)"
What is the company's work model?,Remote-first,"According to POL-003 Remote Work Policy, InterCloud Solutions Philippines, Inc. operates under a remote-first working model. 

(POL-003-remote-work-policy.md)"
What are the core collaboration hours?,10:00 AM to 3:00 PM Philippine Time,The core collaboration hours are from 10:00 AM to 3:00 PM Philippine Time. (Source: POL-003-remote-work-policy.md)
Can employees work outside the Philippines?,"Yes, with approval for up to 30 calendar days per year","Yes, employees may request temporary work outside the Philippines for up to thirty (30) calendar days per year. Approval is required from the Immediate Manager and Department Head. (POL-003-remote-work-policy.md)"
What approvals are required for working outside the Philippines?,Immediate Manager and Department Head,"For employees to work outside the Philippines, approval is required from their Immediate Manager and Department Head. If the request exceeds thirty (30) calendar days, executive approval is also required. 

(POL-003-remote-work-policy.md)"
How much is the monthly internet allowance?,"₱1,500 per month","According to POL-003-remote-work-policy.md, regular employees receive a monthly internet allowance of ₱1,500."
What is the recommended minimum internet speed?,50 Mbps download and 20 Mbps upload,"According to POL-003-remote-work-policy.md, the recommended minimum internet speed is:

* 50 Mbps download
* 20 Mbps upload"
Is MFA required for company systems?,"Yes, MFA is mandatory for specified systems","According to POL-004-information-security-policy.md, Multi-factor authentication is mandatory for:

* Email accounts
* VPN access
* Administrative systems
* Source code repositories
* Cloud platforms

Therefore, MFA is required for company systems."
What is the minimum password length?,12 characters,"According to POL-004-information-security-policy.md, the minimum password length is 12 characters."
What data classification is used for production credentials?,Restricted,"According to the policy document POL-004-information-security-policy.md, production credentials are classified as ""Restricted"" information."
How quickly must security incidents be reported?,Within 24 hours of discovery,Incidents should be reported within twenty-four (24) hours of discovery. (Source: POL-004-information-security-policy.md)
After how many minutes should devices automatically lock?,15 minutes of inactivity,"According to POL-004-information-security-policy.md, devices should automatically lock after fifteen (15) minutes of inactivity."
Can client confidential information be entered into public AI tools?,No,"According to POL-004-information-security-policy.md, employees may not enter client confidential information into public AI systems."
Can employees install unauthorized software?,No,"According to POL-005-acceptable-use-policy.md, employees must not install unlicensed applications. Additionally, POL-008-equipment-and-asset-policy.md states that only approved software may be installed on company devices."
Is limited personal use of company systems allowed?,"Yes, if it does not interfere with work or create security risks","Yes, limited personal use of company systems is permitted, provided it does not interfere with work responsibilities, does not consume excessive resources, does not violate company policies, and does not create security risks. (Source: POL-005-acceptable-use-policy.md, Section 4. Business Use Expectations)"
Can employees copy source code to personal repositories?,No,"According to POL-005-acceptable-use-policy.md, employees may not copy source code to personal repositories."
Can company files be stored in personal cloud drives?,No,"According to POL-005-acceptable-use-policy.md, employees should store business information only in approved company systems. Employees may not store company files in personal cloud accounts."
What is the meal reimbursement limit for domestic business meals?,₱800 per person,"The standard reimbursement limit for domestic business meals is ₱800 per person. This is stated in POL-006-expense-reimbursement-policy.md under the ""Meal Limits"" section."
How long do employees have to submit reimbursement requests?,30 calendar days from the expense date,Employees must submit reimbursement requests within thirty (30) calendar days of the expense date. (POL-006-expense-reimbursement-policy.md)
"What approvals are required for expenses above ₱20,000?","Immediate Manager, Department Head, and Finance Manager","According to POL-006-expense-reimbursement-policy.md, for expenses above ₱20,000, the following approvals are required:

* Immediate Manager
* Department Head
* Finance Manager"
Are traffic violations reimbursable?,No,I could not find that information in the policy documents.
How are foreign currency expenses reimbursed?,Converted to PHP using the company's financial institution exchange rate,Foreign currency expenses incurred in international business are reimbursed by converting them to Philippine Pesos (PHP) using the exchange rate applied by the company's financial institution at the time of processing. (Source: POL-006-expense-reimbursement-policy.md)
Who approves domestic travel?,Immediate Manager,"According to POL-007-travel-policy.md, domestic travel requires approval from the Immediate Manager."
Who approves international travel?,Immediate Manager and Department Head,"International travel requires approval from the Immediate Manager and the Department Head. Additionally, international travel exceeding seven (7) calendar days requires executive approval. 

(POL-007-travel-policy.md)"
